ECLI_code,id_text,length,ttr,text,key_words,text_key_words
,10,,,,"werknemer, camera, arbeidsovereenkomst, verwijtbaar, i-grond, ontbinding, igrond, afstand, ontslag, vakantie",
,11,,,,"kartel, woningcorporatie, aansprakelijkheid, liften, schadestaatprocedure, inbreukperiode, karteldeelnemer, inbreuk, schade, deelname",
,12,,,,"verzekering, voertuig, ongeval, richtlijn, auto, verzekeraar, verzekeringnemer, bewindvoerder, dekken, slachtoffer",
,13,,,,"schuld, gemeenschap, huwelijk, echtgenoot, goed, echtgenoten, huwelijksgemeenschap, voorhuwelijks, woning, aangaan",
,14,,,,"anticonceptiemiddelen, anticonceptie, indirect, positief, onderscheid, collectief, discriminatie, verplichting, vergoeden, kosteloos",
,15,,,,"mondeling, horen, behandeling, bereid, zorgmachtiging, bereidheid, zorg, verhindering, medisch, vaststelling",
,16,,,,"inbreuk, land, beïnvloeden, schade, verordening, vrachtwagens, markt, toepasselijk, gedraging, benadelen",
,17,,,,"inbreuk, land, schade, verordening, vrachtwagens, beïnvloeden, gedraging, toepasselijk, benadelen, afnemer",
,18,,,,"incidentelen, onderdeel, veroordelen, deels, dwaling, vernietigen, primair, betaling, slagen, inspanningsverbintenis",
,19,,,,"ouder, ex-echtgenoot, aanbod, lening, bewijsaanbod, getuige, hoofdsom, horen, verklaring, overeenkomst",
